STATION ID,TIME,LAST UPDATED,NAME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE
25,4/1/2019 3:25,4/1/2019 3:20,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 3:30,4/1/2019 3:20,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 3:35,4/1/2019 3:30,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 3:40,4/1/2019 3:30,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 3:45,4/1/2019 3:40,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 3:50,4/1/2019 3:40,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 3:55,4/1/2019 3:50,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 4:00,4/1/2019 3:50,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 4:05,4/1/2019 4:00,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 4:10,4/1/2019 4:00,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 4:15,4/1/2019 4:09,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 4:20,4/1/2019 4:09,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 4:25,4/1/2019 4:19,MERRION SQUARE EAST,30,29,1,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 4:30,4/1/2019 4:19,MERRION SQUARE EAST,30,29,1,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 4:35,4/1/2019 4:29,MERRION SQUARE EAST,30,29,1,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 4:40,4/1/2019 4:29,MERRION SQUARE EAST,30,29,1,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 4:45,4/1/2019 4:40,MERRION SQUARE EAST,30,29,1,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 4:50,4/1/2019 4:40,MERRION SQUARE EAST,30,29,1,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 4:55,4/1/2019 4:50,MERRION SQUARE EAST,30,29,1,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 5:00,4/1/2019 4:50,MERRION SQUARE EAST,30,29,1,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 5:05,4/1/2019 5:04,MERRION SQUARE EAST,30,29,1,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 5:10,4/1/2019 5:04,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 5:15,4/1/2019 5:04,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 5:20,4/1/2019 5:14,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 5:25,4/1/2019 5:14,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 5:30,4/1/2019 5:24,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 5:35,4/1/2019 5:24,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 5:40,4/1/2019 5:34,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
25,4/1/2019 5:45,4/1/2019 5:34,MERRION SQUARE EAST,30,28,2,Open,Merrion Square East,53.339436,-6.246548
